loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,defects
174,297,1100.564152,145.8425487,9067,84232.60089,9067,113.9055829,739.4949284,9594563.505,0.000178682,148.0642516,786,69,126,681,17,609,906,8161,2,TRUE
110,224,751.7315951,127.173173,3521,31010.69668,3521,57.25174014,541.6550939,1775416.348,0.000157604,27.39840043,309,29,58,268,17,431,618,2903,1,TRUE
450,854,3457.585469,326.6953135,20737,204165.9272,20737,180.7214839,1129.72693,36897169.33,0.00018095,569.4007613,1571,93,326,1287,17,903,1538,19199,4,FALSE
330,2002,2311.85955,1573.025471,85718,864677.1398,85718,645.5079365,1339.529835,558155956.3,0.000261334,8613.517844,1471,41,212,1283,17,1071,4384,81334,380,TRUE
479,7196,39200.41087,1944.547967,285486,3242422.092,285486,864.8057154,3749.306964,2804065156,0.000204425,43272.61044,1213,110,174,1045,17,2607,20245,265241,1942,TRUE
27162,60590,876063.8648,438.6387244,3616901,49908072.68,3616901,2078.983418,24005.99844,1.04E+11,0.000147476,1601204.56,90145,1769,4675,85488,17,14232,135949,3480952,6679,TRUE
552,1322,8533.151728,164.9289038,41517,383152.8656,41517,577.0523156,663.9828924,221099248.3,0.000318101,3412.025437,2339,157,387,1959,17,583,1938,39579,76,FALSE
142,331,1107.222429,180.643826,11872,108352.2355,11872,176.8376384,612.7215705,19160753.44,0.000220284,295.6906395,818,70,134,696,17,542,596,11276,16,FALSE
365,765,4171.695014,125.9415177,25697,252918.8768,25697,229.9150943,1100.053381,58149867.41,0.000197817,897.3744971,1340,121,173,1192,17,901,1326,24371,31,TRUE
470,977,5117.941802,132.5379099,28026,262987.6965,28026,348.8133641,753.9496006,91733623.12,0.000257808,1415.642332,1873,44,253,1631,17,651,1311,26715,225,TRUE
429,701,4012.542053,133.0553319,16473,162364.8977,16473,144.3225275,1125.014234,23432912.41,0.000168114,361.6190187,1896,68,135,1779,17,910,1022,15451,27,FALSE
192,280,878.5260619,183.0102522,6599,59809.34414,6599,96.79826255,617.8762156,5789440.597,0.000179694,89.34321909,584,49,122,498,17,518,700,5899,7,TRUE
66,102,349.1757118,58.80440218,2431,20524.79564,2431,54.23564955,378.4373527,1113175.623,0.000174439,17.17863616,404,32,109,305,17,331,319,2112,0,FALSE
98,181,613.4429993,102.6180218,3493,30522.15626,3493,59.81097561,510.3102892,1825559.944,0.000163128,28.17222135,386,29,77,324,17,410,608,2885,4,FALSE
285,490,2233.496673,135.6899391,45976,435376.2522,45976,507.9978324,857.0435235,221170192.4,0.000280005,3413.120253,2984,56,208,2798,17,692,4619,41357,3,TRUE
155,279,1307.200889,58.81249698,13960,119206.657,13960,318.6183099,374.1362417,37981423.58,0.000315955,586.1330799,645,14,115,538,17,355,653,13307,40,FALSE
207,371,1379.836572,174.5065161,5847,53348.73731,5847,79.40665434,671.8421491,4236244.743,0.000163584,65.37414727,577,45,101,498,17,541,793,5054,3,TRUE
146,263,1080.008133,96.85171913,2473,20455.32807,2473,63.63356164,321.4550237,1301645.38,0.000194268,20.08712005,447,9,59,396,17,292,287,2186,10,TRUE
715,1459,12265.40946,100.5342706,52824,544407.4027,52824,344.2738191,1581.32095,187425215.6,0.000200527,2892.364439,2877,130,376,2509,17,1249,2236,50588,164,TRUE
22683,65266,555143.9524,11162.47325,3531068,47414604.14,3531068,2612.745342,18147.42653,1.24E+11,0.000174705,1911763.675,80205,2249,11479,68297,17,11003,148946,3382122,10850,TRUE
159,212,673.3106447,140.3370535,7108,60585.47838,7108,155.7606838,388.9651542,9436835.539,0.000245694,145.6301781,846,28,154,718,17,351,676,6432,1,TRUE
155,265,969.4466152,131.0907569,5664,49239.91013,5664,111.720403,440.7423245,5501102.604,0.000210957,84.89355871,494,26,98,415,17,397,446,5218,11,TRUE
227,383,1345.151965,206.5871679,14691,138014.0514,14691,178.461128,773.3563771,24630143.31,0.000204456,380.0948041,1263,73,243,1041,17,656,918,13773,31,FALSE
379,738,2796.503346,333.2602816,19079,183995.1322,19079,193.6871009,949.9606912,35637483.74,0.00019619,549.9611689,1782,35,582,1243,17,783,1237,17842,60,TRUE
623,1197,5324.482845,390.8369516,35641,351569.4584,35641,298.8934426,1176.236773,105081805.7,0.000211131,1621.632805,2000,179,317,1742,17,915,3466,32175,54,TRUE
2133,4343,27426.41234,493.9250802,192349,2123061.119,192349,756.5244604,2806.335063,1606147668,0.000215331,24786.22944,5741,301,776,5032,17,2085,6778,185571,354,TRUE
435,822,4168.31951,133.1508304,26965,253321.6866,26965,334.2469512,757.8878001,84672001.41,0.000253727,1306.666688,1399,75,160,1258,17,656,1169,25796,31,FALSE
280,491,1901.441944,226.9521999,9707,90356.04697,9707,115.7074554,780.9008212,10454868.28,0.000176387,161.3405598,1064,98,165,936,17,617,1308,8399,10,TRUE
320,603,2897.151349,171.2596474,12192,119785.897,12192,105.5623596,1134.740617,12644881.92,0.000151037,195.1370667,1195,42,148,1069,17,890,1139,11053,16,TRUE
84,175,707.2343795,70.2236257,1799,14697.69508,1799,37.88929889,387.9115082,556885.3618,0.000153511,8.593909905,204,38,47,160,17,271,591,1208,1,TRUE
2689,7012,53781.33662,1487.39467,338198,3940665.716,338198,857.0899719,4597.727013,3377505068,0.000190417,52121.99179,9549,348,574,8990,17,3201,15428,322770,557,TRUE
397,1026,5428.592355,230.897892,46815,439500.0292,46815,573.9387443,765.7612134,252246094.9,0.000302786,3892.686649,1736,273,249,1491,17,653,2723,44092,98,FALSE
28,48,136.376147,34.04983897,597,4349.385125,597,30.20863309,143.9782168,131388.9794,0.000198072,2.027607707,213,0,18,200,17,139,103,494,0,TRUE
270,507,2393.974249,123.0864797,16759,161009.2487,16759,174.0327654,925.1662947,28020884.81,0.000190992,432.4210619,909,70,133,794,17,763,1137,15622,38,TRUE
144,272,1618.655056,39.57978783,6159,53921.35213,6159,116.726506,461.946082,6294051.034,0.000210736,97.13041719,595,40,101,501,17,415,460,5699,49,TRUE
5006,25372,65099.59083,16820.93795,2146881,28158183.08,2146881,2002.328499,14062.71903,56381932457,0.000174061,870091.5503,15664,2215,1789,14176,17,8860,59748,2087133,2929,TRUE
2082,4810,32082.34799,255.6132698,165875,1818110.424,165875,681.6088057,2667.381069,1239240075,0.000211525,19124.07523,7421,459,838,6627,17,1976,7421,158454,116,TRUE
1049,2111,12550.83435,249.0071671,110632,1155552.882,110632,649.7407407,1778.483032,750809785.8,0.000238292,11586.57077,4645,152,650,4025,17,1377,5374,105258,101,FALSE
46,79,273.9860119,43.04725683,2086,16989.75709,2086,56.68796992,299.7065712,963114.8392,0.000191342,14.86288332,310,43,74,247,17,266,312,1774,2,TRUE
2463,4279,18958.77042,1358.938874,201313,2247640.908,201313,727.8297499,3088.141023,1635899920,0.0002059,25245.36914,7723,346,1146,6772,17,2279,6169,195144,141,TRUE
138,226,824.2201068,112.2745018,4209,34470.97157,4209,119.2472727,289.0713622,4110569.348,0.000248138,63.43471216,487,24,110,391,17,275,351,3858,22,TRUE
126,245,1076.591668,81.69452708,7587,67779.911,7587,117.7754237,575.501313,7982807.738,0.000196433,123.1914774,512,28,53,471,17,472,1047,6540,7,FALSE
